name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
NZ_JRKQ01000001,NZ_JRKQ01000001.1,0,3999,4000,0,"[3.4592697620391846, -3.8194754123687744]","[0.9993103742599487, 0.000689574982970953]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,100,4099,4000,0,"[3.4249463081359863, -3.784935235977173]","[0.9992613196372986, 0.0007386984652839601]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,200,4199,4000,0,"[3.4539785385131836, -3.8140921592712402]","[0.9993029832839966, 0.0006969701498746872]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,300,4299,4000,0,"[3.46820330619812, -3.8288722038269043]","[0.9993230104446411, 0.0006770587642677128]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,400,4399,4000,0,"[3.473890542984009, -3.835970401763916]","[0.9993315935134888, 0.0006684627733193338]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,500,4499,4000,0,"[3.4781594276428223, -3.840331554412842]","[0.9993372559547424, 0.0006627226830460131]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,600,4599,4000,0,"[3.4949111938476562, -3.857053518295288]","[0.9993590712547302, 0.0006409198977053165]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,700,4699,4000,0,"[3.5046706199645996, -3.8659465312957764]","[0.9993709921836853, 0.0006290837773121893]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,800,4799,4000,0,"[3.504937171936035, -3.8665781021118164]","[0.9993714690208435, 0.0006285191630013287]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,900,4899,4000,0,"[3.505638837814331, -3.8649961948394775]","[0.9993709921836853, 0.0006290723686106503]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1000,4999,4000,0,"[3.5101826190948486, -3.86826753616333]","[0.9993758797645569, 0.0006241781520657241]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1100,5099,4000,0,"[3.512362003326416, -3.870720863342285]","[0.9993786811828613, 0.0006212951266206801]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1200,5199,4000,0,"[3.5101752281188965, -3.8703885078430176]","[0.9993771910667419, 0.0006228612619452178]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1300,5299,4000,0,"[3.5078089237213135, -3.8678789138793945]","[0.9993740916252136, 0.0006259038927964866]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1400,5399,4000,0,"[3.4981770515441895, -3.8583598136901855]","[0.999362051486969, 0.000637998222373426]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1500,5499,4000,0,"[3.487058162689209, -3.8466989994049072]","[0.9993472695350647, 0.0006526886718347669]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1600,5599,4000,0,"[3.459148406982422, -3.818753480911255]","[0.9993098974227905, 0.0006901565939188004]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1700,5699,4000,0,"[3.4908552169799805, -3.8501884937286377]","[0.9993520379066467, 0.0006479534786194563]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1800,5799,4000,0,"[3.487584114074707, -3.847395420074463]","[0.9993481040000916, 0.0006518919835798442]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,1900,5899,4000,0,"[3.4878554344177246, -3.8475325107574463]","[0.9993483424186707, 0.000651625799946487]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2000,5999,4000,0,"[3.512820243835449, -3.8714818954467773]","[0.9993793964385986, 0.0006205384852364659]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2100,6099,4000,0,"[3.494926691055298, -3.854912281036377]","[0.9993577599525452, 0.0006422829465009272]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2200,6199,4000,0,"[3.4964866638183594, -3.857133388519287]","[0.9993601441383362, 0.0006398606928996742]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2300,6299,4000,0,"[3.5268239974975586, -3.8859758377075195]","[0.9993969202041626, 0.0006031147204339504]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2400,6399,4000,0,"[3.5337471961975098, -3.8910999298095703]","[0.9994040727615356, 0.0005958967376500368]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2500,6499,4000,0,"[3.532667875289917, -3.8907952308654785]","[0.9994032382965088, 0.0005967216566205025]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2600,6599,4000,0,"[3.5318753719329834, -3.8908071517944336]","[0.9994027614593506, 0.0005971870268695056]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2700,6699,4000,0,"[3.5329318046569824, -3.892341375350952]","[0.9994043111801147, 0.0005956431850790977]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2800,6799,4000,0,"[3.5319948196411133, -3.8919689655303955]","[0.9994035959243774, 0.0005964231677353382]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,2900,6899,4000,0,"[3.5291972160339355, -3.8887906074523926]","[0.9994000196456909, 0.0005999957793392241]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3000,6999,4000,0,"[3.5257420539855957, -3.885242462158203]","[0.9993957281112671, 0.0006042098975740373]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3100,7099,4000,0,"[3.518317222595215, -3.877859354019165]","[0.9993867874145508, 0.0006132181733846664]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3200,7199,4000,0,"[3.510255813598633, -3.8700170516967773]","[0.9993769526481628, 0.0006230423459783196]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3300,7299,4000,0,"[3.513101577758789, -3.8732099533081055]","[0.9993807077407837, 0.0006192936562001705]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3400,7399,4000,0,"[3.5004396438598633, -3.8606395721435547]","[0.9993649125099182, 0.0006351086194626987]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3500,7499,4000,0,"[3.485513210296631, -3.8456473350524902]","[0.999345600605011, 0.0006543846684508026]"
NZ_JRKQ01000001,NZ_JRKQ01000001.1,3600,7599,4000,0,"[3.4739761352539062, -3.8334877490997314]","[0.9993299245834351, 0.000670066277962178]"
